Education,Marital_Status,Income,Recency,Wine,Fruit,Meat,Fish,Sweet,Gold,Age,Spent,Living_With,Children,Total_Purchases,Total_Campaign,Cluster
2,4,58138.0,58,635,88,546,172,88,88,67,1071,0,0,25,0,2
2,4,46344.0,38,11,1,6,2,1,6,70,21,0,2,6,0,0
2,5,71613.0,26,426,49,127,111,21,42,59,649,1,0,21,0,3
2,5,26646.0,26,11,4,20,10,3,5,40,33,1,1,8,0,1
4,3,58293.0,94,173,43,118,46,27,15,43,304,1,1,19,0,1
3,5,62513.0,16,520,42,98,0,42,14,57,618,1,1,22,0,3
2,2,55635.0,34,235,65,164,50,49,27,53,426,0,1,21,0,0
4,3,33454.0,32,76,10,56,3,1,23,39,113,1,1,10,0,1
4,5,30351.0,19,14,0,24,3,3,2,50,22,1,1,6,0,1
4,5,5648.0,68,28,0,6,1,1,13,74,43,1,2,2,1,1
2,3,51381.5,11,5,5,6,0,2,1,41,13,1,1,4,0,1
1,3,7500.0,59,6,16,11,11,1,16,48,50,1,0,6,0,1
2,2,63033.0,82,194,61,480,225,112,30,65,622,0,0,16,0,2
3,2,59354.0,53,233,2,53,3,5,14,72,257,0,2,15,0,0
2,3,17323.0,38,3,14,17,6,1,5,37,29,1,0,5,0,1
4,4,82800.0,23,1006,22,115,59,68,45,78,1200,0,0,26,2,2
2,3,41850.0,51,53,5,19,2,13,4,44,77,1,2,9,0,1
2,5,37760.0,20,84,5,38,150,12,28,78,279,1,0,13,0,1
3,3,76995.0,91,1012,80,498,0,16,176,75,1284,1,1,26,1,3
0,4,33812.0,86,4,17,19,30,24,39,39,114,0,1,8,0,0
2,3,37040.0,41,86,2,73,69,38,48,42,243,1,0,12,0,1
2,3,2447.0,42,1,1,1725,1,1,1,45,5,1,1,43,0,1
4,3,58607.0,63,867,0,86,0,0,19,75,886,1,1,17,1,3
4,3,65324.0,0,384,0,102,21,32,5,70,442,1,1,20,0,1
2,5,40689.0,69,270,3,27,39,6,99,73,417,1,1,20,0,1
2,4,18589.0,89,6,4,25,15,12,13,55,50,0,0,8,0,0
2,3,53359.0,4,173,4,30,3,6,41,48,227,1,2,14,0,1
2,4,51381.5,19,5,1,3,3,263,362,38,634,0,1,27,0,2
2,3,38360.0,26,36,2,42,20,21,10,35,89,1,1,9,0,1
4,3,84618.0,96,684,100,801,21,66,0,59,871,1,0,26,1,3
3,2,10979.0,34,8,4,10,2,2,4,35,20,0,0,8,0,0
3,5,38620.0,56,112,17,44,34,22,89,61,274,1,0,11,0,1
2,5,40548.0,31,110,0,5,2,0,3,54,115,1,1,9,1,1
4,2,46610.0,8,96,12,96,33,22,43,72,206,0,2,17,0,0
3,3,68657.0,4,482,34,471,119,68,22,78,725,1,0,18,0,3
3,4,49389.0,55,40,0,19,2,1,3,73,46,0,2,6,0,0
4,3,67353.0,37,702,17,151,0,8,35,54,762,1,1,28,0,3
0,3,23718.0,76,6,3,14,15,7,36,48,67,1,1,9,0,1
2,6,42429.0,99,55,0,6,2,0,4,51,61,0,1,7,0,0
4,2,48948.0,53,437,8,206,160,49,42,81,696,0,0,24,1,2
2,3,80011.0,3,421,76,536,82,178,102,44,859,1,1,21,0,3
3,3,20559.0,88,13,1,29,3,0,7,39,24,1,1,7,0,1
2,5,21994.0,4,9,0,6,3,1,3,67,16,1,1,4,0,1
4,4,51381.5,80,81,11,50,3,2,39,65,136,0,0,9,0,0
3,3,7500.0,19,3,1,10,3,2,12,49,21,1,1,8,0,1
2,4,79941.0,72,123,164,266,227,30,174,48,718,0,0,16,0,2
0,3,7500.0,24,3,18,14,15,22,50,28,108,1,0,10,0,1
2,5,41728.0,92,13,6,15,3,5,13,56,40,1,1,5,0,1
2,4,51381.5,96,48,5,48,6,10,7,73,76,0,3,10,0,0
4,3,72550.0,39,826,50,317,50,38,38,70,1002,1,2,28,0,3
2,6,65486.0,29,245,19,125,37,67,14,67,382,0,1,17,0,0
3,3,79143.0,2,650,37,780,27,167,32,60,913,1,0,29,0,3
2,4,35790.0,54,12,6,20,30,1,3,47,52,0,1,7,0,0
2,2,82582.0,54,510,120,550,156,40,241,47,1067,0,0,21,2,2
2,3,66373.0,57,328,9,124,12,24,109,46,482,1,2,23,0,1
3,5,82384.0,55,984,51,432,180,120,190,69,1525,1,0,27,1,3
2,2,70287.0,30,295,35,482,121,120,40,58,611,0,0,21,0,2
2,4,27938.0,31,13,0,8,2,1,5,36,21,0,1,6,0,0
2,4,51381.5,57,11,3,22,2,2,6,42,24,0,1,7,0,0
4,3,55954.0,63,447,0,28,0,0,43,56,490,1,1,19,0,1
3,4,75777.0,12,712,26,538,69,13,80,42,900,0,0,21,2,2
2,5,66653.0,18,452,18,102,16,18,6,49,510,1,2,22,0,1
2,4,61823.0,26,523,7,134,37,14,169,72,750,0,1,24,0,2
4,6,67680.0,8,546,0,48,0,6,6,73,558,0,1,19,0,0
2,5,70666.0,29,398,40,367,119,122,30,76,709,1,0,16,0,3
2,3,25721.0,75,1,3,6,3,6,15,53,28,1,1,5,0,1
2,5,32474.0,0,10,0,1,0,0,0,57,10,1,2,4,0,1
0,4,88194.0,19,688,14,309,201,24,38,45,965,0,1,32,2,2
2,5,69096.0,4,247,49,159,7,82,109,66,494,1,1,18,0,3
2,5,74854.0,90,856,59,487,58,29,73,54,1075,1,3,19,0,3
3,3,66991.0,1,496,36,460,189,60,12,70,793,1,0,21,0,3
0,3,51381.5,25,25,3,43,17,4,17,51,66,1,1,9,0,1
2,3,65031.0,29,258,107,291,84,37,86,65,572,1,1,30,0,3
4,3,60631.0,88,565,6,65,0,6,19,49,596,1,2,24,1,1
2,3,28332.0,58,14,10,13,4,15,9,72,52,1,0,8,0,1
2,2,40246.0,68,2,1,6,2,1,1,47,7,0,1,4,0,0
3,3,75251.0,34,721,111,925,97,18,18,52,965,1,0,19,0,3
2,4,75825.0,40,1032,105,779,137,105,51,48,1430,0,0,22,1,2
0,5,26326.0,12,1,0,5,0,3,9,48,13,1,0,4,0,1
2,5,56046.0,9,577,0,64,0,0,51,59,628,1,0,21,1,3
2,4,29760.0,87,64,4,68,7,5,17,39,97,0,1,12,0,0
2,3,26304.0,5,4,1,5,2,0,4,55,11,1,1,4,0,1
0,3,23559.0,87,25,5,19,7,0,23,51,60,1,1,9,0,1
3,5,38620.0,56,112,17,44,34,22,89,61,274,1,0,11,0,1
2,2,81361.0,18,163,23,424,27,65,76,37,354,0,0,27,0,2
2,3,29440.0,95,17,8,14,10,4,3,64,42,1,2,7,0,1
3,3,36138.0,48,130,0,16,0,0,5,54,135,1,2,13,1,1
2,4,50388.0,3,292,6,37,0,3,34,67,335,0,1,17,2,0
2,3,79593.0,70,350,60,568,110,133,145,51,798,1,0,19,1,3
2,5,54178.0,79,135,9,39,4,0,7,57,155,1,1,10,0,1
4,3,51381.5,4,230,42,192,49,37,53,67,411,1,3,29,0,1
2,4,51381.5,45,7,0,8,2,0,1,67,10,0,2,4,0,0
3,5,51381.5,87,445,37,359,98,28,18,51,626,1,0,15,0,3
3,4,42394.0,69,15,2,10,0,1,4,52,22,0,1,5,0,0
4,3,23626.0,84,27,2,14,0,0,0,54,29,1,1,10,0,1
2,3,30096.0,30,5,3,11,12,5,9,41,34,1,1,6,0,1
2,6,47916.0,72,505,0,26,0,0,75,64,580,0,1,22,1,0
2,2,51813.0,37,51,2,7,0,1,2,52,56,0,2,7,0,0
0,3,78497.0,44,207,26,447,75,0,223,73,531,1,0,25,1,3
4,3,50150.0,32,135,46,92,65,61,11,41,318,1,0,16,0,1
0,4,47823.0,0,53,1,5,2,1,10,64,67,0,1,7,0,0
4,4,34554.0,43,41,1,6,2,0,5,65,49,0,1,7,0,0
2,5,85693.0,59,386,172,183,185,132,111,45,986,1,1,27,0,3
4,3,65846.0,68,562,81,276,80,40,81,79,844,1,0,16,0,3
2,3,87195.0,35,217,76,690,50,26,38,65,407,1,0,20,0,3
1,5,24594.0,94,1,3,6,10,0,9,45,23,1,1,5,0,1
2,3,49096.0,15,144,1,32,2,1,7,60,155,1,2,13,0,1
2,3,52413.0,56,295,106,271,75,98,65,55,639,1,2,26,0,3
2,4,38557.0,17,76,3,31,4,4,27,46,114,0,1,9,0,0
3,3,89058.0,18,454,194,106,31,22,43,64,744,1,0,14,0,3
2,5,77298.0,46,425,115,292,23,35,79,45,677,1,1,24,0,3
4,4,68126.0,40,1332,17,311,23,51,86,33,1509,0,0,17,1,2
3,5,57288.0,27,527,0,21,0,0,60,61,587,1,1,20,1,1
2,4,86037.0,95,490,44,125,29,20,22,33,605,0,0,25,2,2
4,3,43974.0,19,378,0,101,0,0,72,44,450,1,1,21,0,1
2,4,50785.0,27,64,1,21,0,1,27,62,93,0,2,8,0,0
2,3,90765.0,25,547,99,812,151,82,33,54,912,1,0,15,2,3
0,3,36550.0,74,47,90,94,123,103,120,46,483,1,1,20,0,3
0,5,30753.0,85,12,5,25,0,9,30,57,56,1,2,7,0,1
2,5,21918.0,37,1,6,7,11,5,3,55,26,1,1,7,0,1
3,5,56129.0,65,320,48,133,39,72,48,71,527,1,1,22,0,3
3,4,32557.0,13,34,3,29,0,4,10,57,51,0,1,9,0,0
3,3,19510.0,63,9,0,7,3,4,7,39,23,1,2,6,0,1
2,2,30992.0,83,17,0,14,7,3,2,48,29,0,1,5,0,0
2,4,101970.0,69,722,27,102,44,72,168,41,1033,0,0,27,3,2
0,5,71488.0,87,162,33,124,40,28,172,59,435,1,0,16,0,3
2,4,79607.0,37,450,133,951,173,0,216,40,972,0,0,16,0,2
3,3,54348.0,51,70,0,16,0,0,4,71,74,1,2,8,0,1
4,3,51381.5,23,352,0,27,10,0,15,63,377,1,1,17,0,1
4,5,77376.0,72,492,19,110,16,12,12,68,551,1,2,23,0,1
2,3,62998.0,10,120,58,73,65,89,58,72,390,1,1,19,0,3
3,1,61331.0,42,534,5,47,0,5,41,66,585,0,2,23,0,0
2,3,73448.0,10,236,106,189,23,41,130,55,536,1,0,19,0,3
2,3,51381.5,96,231,65,196,38,71,124,61,529,1,1,19,0,3
4,3,41551.0,51,220,0,33,3,0,23,60,246,1,2,16,0,1
4,5,62981.0,21,796,14,590,38,44,0,57,892,1,0,23,1,3
1,2,9548.0,31,0,1,3,10,6,9,48,26,0,1,6,0,0
4,3,33762.0,61,53,1,34,2,0,16,65,72,1,3,9,0,1
4,1,35860.0,37,15,0,8,4,2,20,51,41,0,2,6,1,0
4,2,36921.0,74,17,1,12,3,1,4,59,26,0,2,7,0,0
3,4,92859.0,46,962,61,921,52,61,20,32,1156,0,0,22,0,2
3,5,65104.0,4,738,0,232,13,20,50,48,821,1,1,17,0,3
2,3,86111.0,73,399,28,756,36,40,126,62,629,1,0,23,0,3
4,4,68352.0,47,614,16,132,43,33,33,50,739,0,1,25,0,2
2,5,41883.0,13,32,34,41,73,16,116,36,271,1,1,12,0,1
